source,tags_cleaned
soziologische revue,social sciences
stevens' handbook of experimental psychology cognitive neuroscience,neuroscience psychology
storytelling in digital age - narrative inquiry,history literature and literary theory social sciences  education 
subjectivity,social sciences
supply chain management: an international journal,business management and accounting  strategy and management 
survey measurement process quality - wiley series in probability statistics,statistics and probability
teacher education special education: journal of teacher education division of council for exceptional children,education
terrain,social sciences anthropology
the academy of management annals,business and international management organizational behavior and human resource management 
the act of remembering,neuroscience psychology
the american journal of gastroenterology,medicine 
the bulletin of association for business communication,business management and accounting  
the electronic library,library and information sciences computer science applications 
the encyclopedia of adulthood aging,aging
the ethics of memory in a digital age,NA
the european journal of public health,public health environmental and occupational health 
the happy mind: cognitive contributions to well-being,psychiatry and mental health psychology
the international journal of evidence proof,law
the international journal of human resource management,management of technology and innovation organizational behavior and human resource management strategy and management
the international journal of psychoanalysis,clinical psychology medicine  psychiatry and mental health 
the japanese journal of cognitive psychology,psychology
the journal of agricultural science,agronomy and crop science animal science and zoology genetics 
the journal of behavioral health services research,medicine health policy public health environmental and occupational health social sciences
the journal of educational research,education 
the journal of experimental education,developmental and educational psychology education 
the journal of general psychology,arts and humanities  gender studies experimental and cognitive psychology 
the journal of genetic psychology,clinical psychology life-span and life-course studies developmental and educational psychology 
the journal of humanistic counseling,developmental and educational psychology education 
the journal of korean teacher education,education
the journal of psychology,business management and accounting  education psychology  
the journal of social psychology,social psychology 
the journal of special children education,education
the korean journal of educational methodology studies,NA
the korean journal of human resource development quarterly,arts and humanities  organizational behavior and human resource management 
the korean journal of industrial organizational psychology,organizational behavior and human resource management
the modern language review,literature and literary theory language and linguistics linguistics and language 
the self its defenses,psychology
the service industries journal,management of technology and innovation strategy and management 
the translator,language and linguistics
"the wiley handbook of memory, autism spectrum disorder, law",law psychology
the wiley handbook on development of children's memory,education psychology
the wiley-blackwell handbook of childhood cognitive development,psychology
tijdschrift voor gezondheidswetenschappen,medicine
total quality management,business management and accounting  
trends in amplification,speech and hearing
understanding investigating response processes in validation research - social indicators research series,NA
uwf umweltwirtschaftsforum,environmental science
varieties of english around world - english in indian diaspora,language and linguistics
wiley interdisciplinary reviews: climate change,environmental science
world journal of radiology,radiological and ultrasound technology
zeitschrift für entwicklungspsychologie und pädagogische psychologie,education developmental and educational psychology 
